source,target
255,2563
255,201154
255,1627820
406,101115
406,1627826
406,202685
436,203948
436,2694
436,101211
467,1628366
467,203143
467,2224
686,101130
686,201189
686,203158
689,201202
689,201934
689,956
703,201187
703,200767
703,2570
708,1626161
708,202328
708,2561
711,1627782
711,1627789
711,2399
714,203503
714,2574
714,101214
739,1626147
739,1627737
739,1628371
947,201196
947,201155
947,201945
948,203961
948,2740
948,202332
951,203918
951,201158
951,203546
956,2217
956,2570
956,202687
959,101114
959,200826
959,202349
965,202066
965,1627853
965,1747
977,1626164
977,2546
977,202681
978,201961
978,203459
978,203925
979,201579
979,203186
979,1628386
980,1627738
980,1627834
980,203928
1088,202721
1088,2768
1088,1627853
1112,203128
1112,201595
1112,2740
1495,1627826
1495,2200
1495,203991
1497,203915
1497,202688
1497,2240
1499,202730
1499,2408
1499,200777
1501,2202
1501,201977
1501,1626181
1503,202323
1503,202709
1503,1627785
1515,2294
1515,203524
1515,1626203
1533,202388
1533,202721
1533,203492
1536,1627747
1536,203114
1536,204020
1563,203505
1563,203902
1563,2863
1630,203135
1630,1628439
1630,202730
1710,2229
1710,1629059
1710,2039
1712,202699
1712,101141
1712,1627759
1713,1627752
1713,202083
1713,1627851
1715,2229
1715,2581
1715,101181
1716,201228
1716,1627936
1716,201986
1717,2546
1717,101235
1717,1712
1718,202330
1718,201568
1718,202688
1729,1628407
1729,2422
1729,202347
1733,203930
1733,203967
1733,1628398
1737,201585
1737,203101
1737,1627751
1740,200760
1740,1628404
1740,2484
1747,2550
1747,1629059
1747,202721
1802,202412
1802,202700
1802,255
1853,203485
1853,2224
1853,2248
1863,2757
1863,201938
1863,101127
1882,202379
1882,101161
1882,1626172
1884,201950
1884,201952
1884,201144
1885,203210
1885,203461
1885,202344
1886,1628380
1886,1628467
1886,2246
1888,1629012
1888,1628973
1888,1863
1889,2551
1889,203901
1889,101198
1890,202344
1890,201589
1890,202720
1891,203552
1891,200751
1891,204038
1894,201942
1894,101124
1894,200750
1897,202697
1897,1626169
1897,202066
1899,2047
1899,201229
1899,1627823
1902,203128
1902,201189
1902,2853
1903,201181
1903,201187
1903,2740
1904,2772
1904,1628969
1904,203200
1905,2222
1905,1627761
1905,1626178
1938,200768
1938,2240
1938,202689
1952,202347
1952,2294
1952,203117
2030,101130
2030,202970
2030,1626172
2034,1626192
2034,203585
2034,203111
2037,201569
2037,203095
2037,1627750
2038,956
2038,2048
2038,2570
2039,1627812
2039,203085
2039,1747
2041,2217
2041,101131
2041,2570
2045,201587
2045,1629059
2045,1627812
2047,203138
2047,1628404
2047,1628384
2048,201972
2048,1902
2048,201600
2050,203798
2050,201858
2050,1627789
2052,2586
2052,1628390
2052,203503
2059,202698
2059,202082
2059,200782
2067,201961
2067,204038
2067,203493
2072,2732
2072,2436
2072,203895
2137,200782
2137,202361
2137,2059
2198,202399
2198,202396
2198,201972
2199,201600
2199,202399
2199,202684
2200,1627826
2200,101115
2202,203918
2202,1627736
2202,203082
2203,201602
2203,1626253
2203,1627827
2205,201202
2205,2740
2205,1903
2207,202130
2207,202390
2207,2732
2209,1628404
2209,2440
2209,202325
2210,101110
2210,2566
2210,1627789
2211,201973
2211,202357
2211,1628391
2216,2449
2216,203944
2216,202683
2217,202687
2222,203561
2222,1628977
2223,101106
2223,1627751
2223,1737
2224,2248
2224,203515
2225,201565
2225,101198
2225,1888
2229,101181
2229,1629059
2230,101120
2230,203106
2230,202713
2239,2624
2239,101177
2239,436
2240,1628372
2240,101126
2240,201943
2246,201957
2246,1626168
2246,203932
2248,201041
2250,203187
2250,2047
2250,1627827
2294,202347
2306,203489
2306,1628424
2306,203492
2365,203105
2365,1626257
2365,203481
2399,2804
2399,101110
2399,1627789
2400,203156
2400,1627746
2400,1628397
2403,1626178
2403,201168
2403,203939
2404,203156
2404,202344
2404,203077
2405,1626149
2405,200746
2405,1628963
2406,201978
2406,202340
2406,200769
2407,1628414
2407,202686
2407,202345
2408,2570
2408,2239
2419,201603
2419,101211
2419,2564
2420,201591
2420,101138
2420,201146
2422,101144
2422,203085
2427,203121
2427,203493
2427,203503
2429,200811
2429,101189
2429,203101
2430,101135
2430,2216
2430,2449
2431,203094
2431,202720
2431,1627816
2436,203895
2436,2732
2436,203079
2440,202357
2440,101107
2440,201948
2443,201974
2443,201970
2443,201152
2446,201575
2446,2588
2446,1628382
2449,101135
2449,1627734
2457,201988
2457,200770
2457,203992
2484,203463
2484,101187
2484,2756
2501,201972
2501,201595
2501,1902
2544,201566
2544,977
2544,201142
2545,1628395
2545,1627751
2545,1882
2546,201142
2547,201578
2547,2449
2547,200746
2548,201942
2548,201936
2548,203100
2549,2744
2549,1627826
2549,1626143
2550,202721
2550,1628373
2551,1628365
2551,203268
2553,203493
2553,2067
2553,201961
2554,203798
2554,201611
2554,201858
2555,201605
2555,2853
2555,201623
2556,202779
2556,1628983
2556,202710
2557,201938
2557,2757
2557,202714
2561,1626161
2561,2449
2562,1627827
2562,1626173
2562,203187
2563,202809
2563,201154
2564,203492
2564,201177
2564,202323
2566,202713
2566,201590
2568,203200
2568,2772
2568,1627788
2570,200777
2570,203135
2571,203079
2571,201564
2571,202705
2572,2736
2572,201814
2572,201966
2574,204014
2574,203503
2574,1628390
2575,203902
2575,1628373
2575,2768
2581,203521
2581,2768
2584,1627782
2584,101144
2584,711
2585,2760
2585,1628389
2585,203469
2586,1628390
2586,2294
2588,202337
2588,1627863
2590,203504
2590,201166
2590,2749
2592,201161
2592,1629244
2592,2554
2594,1629244
2594,203493
2594,203459
2605,2863
2605,202087
2605,1627820
2617,1626245
2617,2853
2617,201189
2624,101177
2624,1628971
2694,203948
2694,1628439
2730,203994
2730,1626210
2730,406
2731,202389
2731,1737
2731,202334
2732,203095
2732,203895
2733,202386
2733,203489
2733,202724
2734,202391
2734,1628412
2734,1628443
2735,201967
2735,201153
2735,202345
2736,201814
2736,201145
2736,201966
2738,201986
2738,1627936
2738,1716
2740,703
2740,200767
2742,203526
2742,1626170
2742,101109
2743,203382
2743,202684
2743,202399
2744,1629028
2744,202696
2746,200794
2746,1626158
2746,201576
2747,203552
2747,1627752
2747,2202
2748,1740
2748,203109
2748,203200
2749,202349
2749,101181
2753,1628983
2753,203898
2753,202709
2754,1627885
2754,1626204
2754,1627362
2755,203930
2755,101122
2755,2072
2756,204038
2756,201162
2757,201938
2760,203080
2760,203920
2768,203521
2772,203200
2772,203109
2804,1626163
2804,1628995
2853,201605
2853,201189
2863,202723
2863,201601
101106,203124
101106,203089
101107,201948
101107,200760
101107,1627846
101108,202322
101108,1884
101108,202339
101109,202714
101109,203898
101109,2557
101110,1627789
101111,101123
101111,201583
101111,202706
101112,202722
101112,1627863
101112,2804
101113,201171
101113,1627790
101113,101124
101114,203915
101114,201609
101114,200826
101115,1627826
101115,202685
101115,203186
101120,101214
101120,203585
101120,202347
101121,202365
101121,201154
101121,203948
101122,203087
101122,1733
101122,1718
101123,101139
101123,1627736
101123,201156
101124,201171
101124,1629140
101124,202396
101126,203992
101126,201943
101127,201938
101127,2757
101128,1629003
101128,202325
101128,201980
101129,1627782
101129,201167
101129,711
101130,203102
101131,203135
101131,201623
101131,200780
101132,203118
101132,1628995
101132,2804
101133,202350
101133,200749
101133,200811
101135,2216
101138,201591
101138,201160
101139,2747
101139,1627736
101141,203932
101141,203482
101142,202327
101142,202350
101142,200780
101144,202343
101144,1628415
101145,203100
101145,203506
101145,201936
101150,202689
101150,202738
101150,1626164
101153,101155
101153,203922
101153,203133
101154,202328
101154,200794
101154,1628385
101155,203922
101155,203106
101161,1626172
101161,202379
101161,203476
101162,201941
101162,201582
101162,202389
101177,2408
101179,1626145
101179,203143
101179,203499
101181,201953
101181,202349
101187,1627789
101187,101110
101189,203101
101189,1626172
101198,201951
101198,201954
101198,1863
101211,202498
101211,203948
101211,101153
101214,202347
101214,203585
101235,200745
101235,1712
101235,101122
101236,1627858
101236,202345
101236,201187
101249,202690
101249,201985
101249,1627812
200081,1628470
200081,1627827
200081,1628966
200745,203498
200745,201578
200746,1626143
200748,201576
200748,202379
200748,1882
200749,201623
200749,201605
200750,201155
200750,202330
200750,201942
200751,200789
200751,204038
200751,1628379
200752,1628367
200752,203953
200752,202693
200755,203501
200755,201569
200755,201156
200757,202698
200757,2059
200757,200782
200758,200776
200758,2605
200758,203937
200760,1627774
200760,201948
200761,203998
200761,201575
200761,1629003
200762,201957
200762,2246
200762,203094
200765,203901
200765,204456
200765,201937
200766,203107
200766,202714
200766,201953
200767,203101
200767,101130
200768,2240
200768,2734
200769,202340
200769,1626181
200770,1627832
200770,201985
200771,2749
200771,202714
200771,101109
200776,2605
200776,201041
200777,202730
200777,202962
200777,201189
200779,1628510
200779,1629151
200779,201161
200780,203135
200780,1627745
200782,1626214
200783,201175
200783,1629140
200783,203156
200789,203917
200789,204038
200794,1626178
200796,201946
200796,101124
200796,202396
200797,202396
200797,200780
200797,101131
200811,203920
200817,202724
200817,1626273
200817,203107
200826,202704
200826,203915
201041,203499
201041,1628393
201141,203497
201141,201580
201141,201579
201142,977
201143,1627783
201143,2561
201143,201150
201144,1628455
201144,201952
201144,201943
201145,203084
201145,203895
201146,203077
201146,201574
201146,202962
201147,204098
201147,1629006
201147,2556
201148,1882
201148,202324
201148,1626158
201149,203920
201149,1628389
201149,202334
201150,1628380
201150,2246
201150,201957
201151,1628393
201151,203268
201151,2551
201152,201971
201152,202693
201153,2605
201153,202345
201155,201196
201156,203501
201156,202711
201156,203918
201157,202327
201157,201880
201157,203481
201158,203918
201158,1627851
201160,201959
201160,201805
201161,1629244
201161,202337
201161,1628510
201162,2484
201162,1740
201163,203118
201163,1626168
201163,1626163
201164,203894
201164,201962
201164,2772
201166,203504
201166,203992
201167,203098
201167,2584
201168,1628389
201168,203469
201168,203500
201171,201593
201171,1629140
201175,203156
201175,201974
201177,1626159
201177,1626220
201181,101236
201181,201187
201188,203486
201188,201168
201188,2746
201196,1627819
201202,201934
201228,203526
201228,1626170
201229,1627863
201229,1627823
201229,101110
201274,1626178
201274,2403
201274,203939
201563,203953
201563,203933
201563,2547
201564,203079
201564,1626181
201564,202718
201565,203471
201565,202704
201566,202322
201566,2548
201567,1717
201567,1628374
201567,2546
201568,101122
201568,202330
201569,203501
201569,1626780
201571,203148
201571,203915
201571,1626184
201572,1626143
201572,201578
201572,204001
201573,203148
201573,201588
201573,202951
201574,202962
201574,202684
201574,203382
201575,1627835
201575,1626192
201576,1626158
201576,202324
201577,202338
201577,202389
201577,201805
201578,1628381
201578,1628418
201579,1628386
201579,203089
201580,203089
201580,1626167
201581,1628397
201581,2400
201581,1629140
201582,201959
201582,201585
201583,203141
201583,203142
201583,101123
201584,202734
201584,1629102
201584,200769
201585,203101
201585,1627751
201586,1628964
201586,1626167
201586,203089
201587,1626179
201587,202718
201588,204020
201588,203085
201589,1627783
201589,203120
201590,1627774
201590,201948
201590,200760
201591,201160
201593,1629140
201593,1627790
201595,203128
201595,202686
201596,203935
201596,201228
201596,1716
201599,2731
201599,203497
201599,203458
201600,202334
201600,202684
201601,202087
201601,202361
201602,202325
201602,202082
201603,1627820
201603,201604
201604,201970
201604,1627820
201604,101144
201605,201623
201609,1628455
201609,203471
201609,202704
201611,204038
201611,203493
201623,200780
201623,203077
201627,951
201627,978
201627,203918
201785,203561
201785,2222
201785,2585
201805,201959
201805,203135
201805,202389
201814,201966
201814,203613
201858,2484
201880,202327
201880,203512
201933,203507
201933,1628405
201933,1894
201934,202327
201934,202363
201935,1629029
201935,202738
201935,202689
201936,201609
201936,1628455
201937,202178
201937,203515
201939,1626156
201939,1628378
201939,202681
201941,201582
201941,201581
201942,203952
201943,1628372
201944,202323
201944,202362
201944,1628972
201945,1627742
201945,202692
201945,2572
201946,202396
201946,101124
201947,1626185
201947,202376
201947,203960
201948,203488
201949,201589
201949,1627783
201949,1628401
201950,1628455
201950,1628372
201950,201144
201951,201952
201951,201954
201952,1628368
201953,1626273
201954,201938
201954,2557
201954,101109
201956,201973
201956,2736
201956,201960
201957,203094
201957,202720
201958,1627747
201958,203114
201958,1536
201959,202389
201960,203109
201960,1626209
201960,1740
201961,203493
201961,203459
201962,1626166
201962,203894
201963,1628966
201963,203090
201963,202325
201964,203524
201964,1627827
201964,1626220
201966,202705
201967,201601
201967,203103
201970,201974
201970,1627820
201971,1626161
201971,708
201971,203080
201972,2617
201973,101107
201973,203461
201974,1628021
201974,1628977
201975,203484
201975,202083
201975,2484
201976,204060
201976,1628975
201976,1716
201977,2202
201977,203918
201978,1628422
201978,1626224
201979,1626145
201979,204456
201979,1627739
201980,203200
201980,2748
201985,1627812
201985,1626184
201986,1626170
201988,203992
201988,2747
201991,203145
201991,201962
201991,201958
202066,202697
202082,1628414
202082,202698
202083,201158
202083,203552
202087,202361
202130,1628402
202130,1626224
202130,951
202178,201596
202178,1626153
202178,203935
202220,1627739
202220,201979
202220,1627215
202227,203934
202227,203508
202227,1627855
202322,1628368
202322,201952
202322,202339
202323,202362
202324,1626158
202324,201582
202324,1628976
202325,1629003
202326,203076
202326,201933
202326,203507
202328,1628385
202329,200782
202329,201973
202329,203461
202330,202692
202330,202688
202331,203506
202331,202695
202331,1628378
202332,2429
202332,202336
202333,2563
202333,2572
202333,201974
202334,204028
202334,203920
202335,101107
202335,204037
202335,1628470
202336,203481
202336,2545
202337,1629151
202337,1627863
202338,1627738
202338,1627834
202339,101145
202339,1628368
202339,201144
202340,1626181
202341,203138
202341,203585
202341,1627846
202343,1628415
202343,101187
202344,203940
202344,101161
202345,202686
202345,2030
202347,202713
202348,203897
202348,203903
202348,203079
202349,2590
202350,200780
202350,200811
202355,201141
202355,201580
202355,203991
202357,101107
202357,1629016
202361,1626159
202362,1628972
202363,202327
202363,201157
202363,203481
202365,203199
202365,203940
202376,202335
202376,1628470
202376,1628417
202379,203476
202379,1626172
202386,203268
202386,2551
202388,201953
202388,202951
202390,202711
202390,202130
202390,201158
202391,1628368
202391,1628412
202396,1629140
202396,201168
202397,2757
202397,1627755
202397,201954
202399,203920
202407,202732
202407,203906
202407,200757
202412,202343
202412,201956
202412,203900
202498,101153
202498,1628411
202681,1628378
202681,202689
202681,1626156
202682,202700
202682,2736
202682,201145
202683,1628381
202683,1629028
202684,203382
202685,1627826
202685,1627790
202686,1626254
202686,202970
202687,203105
202688,201166
202688,202348
202689,202738
202690,951
202690,203918
202691,1627741
202691,203468
202691,101123
202692,203613
202692,201814
202693,1627783
202693,1628369
202693,203932
202694,1626163
202694,1626224
202694,1627851
202695,203506
202695,1628367
202696,1629028
202696,2430
202697,1626169
202698,1628414
202699,203087
202699,203932
202700,2736
202700,2572
202702,1626195
202702,201581
202702,201168
202703,1628374
202703,1733
202703,101111
202704,203471
202704,1626144
202705,201814
202706,2202
202706,2748
202706,1629066
202708,202721
202708,203492
202708,202709
202709,1627735
202709,203107
202710,203100
202710,202391
202711,1628995
202713,203922
202713,203516
202716,2404
202716,203077
202716,203940
202718,203115
202718,1626181
202720,203530
202720,203094
202720,203210
202722,2594
202722,203966
202723,1628414
202723,1627735
202724,203489
202725,203113
202725,203120
202725,202329
202730,686
202732,203906
202732,200757
202734,2584
202734,203546
202738,203081
202779,1627747
202779,1536
202809,201945
202809,1627742
202951,203148
202951,2557
202962,203928
202970,1626172
203076,1626149
203076,203994
203077,203469
203078,203468
203078,203897
203078,1627750
203079,203095
203080,203500
203081,1626164
203081,202689
203082,1627736
203082,978
203083,1626210
203083,203994
203083,203991
203084,2736
203084,202694
203085,1627782
203085,1627812
203086,1628035
203086,1627816
203086,2431
203087,1628369
203087,1627759
203087,203115
203088,101181
203088,1626273
203088,201953
203089,1628386
203090,1628966
203090,202087
203092,203382
203092,201574
203092,202389
203093,1626158
203093,1627746
203093,1628464
203095,203918
203096,1627734
203096,2400
203096,203530
203098,203926
203098,711
203100,202391
203101,1627751
203102,203158
203102,202716
203103,204037
203103,203199
203103,101153
203105,1626257
203106,203922
203106,202713
203106,202347
203107,1533
203109,1626209
203109,1740
203110,2738
203110,1626153
203110,1627761
203111,1627835
203111,101120
203111,203585
203112,203527
203112,1626185
203112,201973
203113,203120
203113,1628371
203113,203909
203114,2571
203114,203079
203115,204020
203117,101214
203117,2294
203118,1626163
203120,203909
203120,203488
203121,204014
203121,203503
203123,1627775
203123,1626220
203123,1629026
203124,203089
203124,1627751
203128,201189
203128,703
203133,201964
203133,202713
203138,203503
203138,2050
203141,101123
203141,203142
203142,202711
203142,201156
203143,203515
203143,1626145
203144,1626184
203144,201588
203144,201985
203145,1536
203145,1626196
203148,1628973
203156,1628397
203158,101130
203186,1628386
203186,202389
203187,1628384
203187,1628404
203197,1628373
203197,1627775
203197,1853
203199,201967
203210,203461
203210,201973
203268,1628393
203268,1627735
203457,1629034
203457,200748
203457,1626204
203458,1628386
203458,2731
203458,1628976
203459,203493
203460,202698
203460,2059
203460,202082
203461,203940
203462,202692
203462,1627742
203462,201945
203463,1627789
203463,711
203468,203903
203468,1627750
203469,203500
203469,203920
203471,1628372
203473,203543
203473,1628464
203473,101189
203476,1626172
203477,200751
203477,201988
203477,202083
203481,203105
203482,203932
203482,1628369
203484,1626181
203484,203109
203485,203499
203485,203197
203486,1628389
203486,201168
203486,203469
203487,202391
203487,1628368
203487,202339
203488,101107
203489,1628424
203489,202709
203489,203492
203490,1626209
203490,1627786
203490,201960
203492,1628424
203493,1629244
203496,739
203496,2772
203496,1627788
203497,1628386
203498,203952
203498,1712
203499,1628393
203499,201986
203500,203920
203500,203156
203501,203930
203503,1628390
203504,202348
203505,203508
203505,203902
203505,203524
203506,202339
203506,1627747
203507,1628385
203507,200794
203507,201188
203508,203524
203508,1626203
203508,1515
203512,201157
203512,202327
203515,1626145
203515,2248
203516,203922
203516,203921
203518,201611
203518,2554
203518,1629130
203521,2229
203521,101181
203524,1626220
203526,1626170
203527,203960
203527,203516
203530,2431
203530,203210
203543,1628464
203543,1627748
203544,2804
203544,101110
203544,201229
203546,1628379
203546,1628422
203552,203918
203552,951
203561,1628021
203561,1628977
203580,1088
203580,203521
203580,201953
203584,1629013
203584,200779
203584,203141
203585,202347
203613,201945
203705,204025
203705,203088
203705,2224
203710,201584
203710,1629102
203710,1627775
203798,201611
203894,201228
203897,203903
203897,1627750
203898,202714
203900,202066
203900,1716
203901,202397
203901,2551
203902,2768
203903,203078
203906,2059
203906,200782
203906,2137
203909,1628371
203913,101187
203913,203613
203913,1629019
203914,1626181
203914,203484
203914,202340
203917,1627789
203917,711
203920,204028
203921,1627846
203921,203922
203924,1627748
203924,1628380
203924,203909
203925,1627854
203925,1628379
203926,1627854
203926,201167
203928,201574
203928,201959
203930,201569
203933,203953
203933,200752
203934,203508
203934,203505
203935,201228
203935,1716
203937,202970
203937,201153
203939,1626178
203939,201168
203940,1628021
203943,2853
203943,101189
203943,201189
203944,1627734
203944,1628381
203952,200750
203952,200752
203954,202326
203954,203076
203954,1626157
203956,1627767
203956,201582
203956,201941
203957,202721
203957,2039
203957,2422
203960,1626185
203960,1627884
203960,202365
203961,2740
203961,1112
203962,1627733
203962,1629061
203962,200081
203966,200779
203966,1629151
203967,1626168
203967,1626163
203967,202694
203991,1627826
203991,202324
203991,101115
203994,1626210
203994,1495
203994,201576
203998,1628467
203998,203488
203999,203507
203999,201933
203999,2544
204001,1628991
204001,101235
204014,2427
204020,1626196
204020,1626181
204025,203107
204025,200766
204025,1626170
204028,202684
204037,101153
204038,1628422
204060,1628975
204060,1626166
204098,1897
204098,202697
204098,1716
204456,1626145
204456,1627739
1626143,2744
1626144,1628412
1626144,1628973
1626145,203499
1626147,1629066
1626147,200760
1626147,201948
1626148,1628400
1626148,2586
1626148,1626253
1626149,200746
1626149,1628963
1626150,1627098
1626150,1628443
1626150,1627936
1626153,2738
1626153,1627936
1626153,1628983
1626155,201973
1626155,1628970
1626155,202335
1626156,202689
1626156,101126
1626157,1628963
1626157,1627848
1626157,1628381
1626159,1628972
1626159,1626220
1626161,203156
1626162,1627883
1626162,1627759
1626162,1626147
1626163,1626168
1626164,202738
1626166,200770
1626166,1627832
1626166,101109
1626167,1626158
1626167,203093
1626167,203089
1626168,202694
1626169,202066
1626171,202699
1626171,203096
1626171,1712
1626173,1628390
1626173,203187
1626178,2222
1626179,2756
1626179,2748
1626184,1627812
1626185,1627816
1626188,1628379
1626188,202390
1626188,2207
1626192,203111
1626192,203585
1626195,1627734
1626195,203944
1626196,1626181
1626196,201564
1626203,202347
1626203,2294
1626203,1952
1626204,202970
1626204,1627749
1626204,201971
1626209,1626181
1626210,202702
1626214,203516
1626214,203921
1626220,1627827
1626224,1627851
1626245,2853
1626245,201574
1626253,1627835
1626253,202347
1626253,2294
1626254,201601
1626254,201153
1626257,203481
1626273,200766
1626780,2037
1626780,203501
1627098,1626170
1627098,1628443
1627215,101145
1627215,201936
1627215,201950
1627362,200758
1627362,202732
1627362,202407
1627395,203906
1627395,202732
1627395,200757
1627732,203487
1627732,202322
1627732,1628368
1627733,1627835
1627733,203111
1627733,1628470
1627734,2400
1627734,1628397
1627736,201627
1627737,203120
1627737,1628371
1627737,203909
1627738,1627834
1627739,1626153
1627741,101123
1627741,1628370
1627742,1629019
1627745,203135
1627745,201805
1627746,203092
1627748,1628467
1627748,203113
1627748,1628380
1627749,1628365
1627749,1627761
1627750,202348
1627751,2731
1627752,1626181
1627755,101109
1627755,203898
1627755,200766
1627756,1628989
1627756,204038
1627756,201611
1627758,965
1627758,203906
1627758,203499
1627759,1628369
1627759,202694
1627761,2738
1627761,204098
1627761,1626153
1627763,1628420
1627763,201564
1627763,203079
1627767,201941
1627767,201582
1627774,201948
1627775,2562
1627780,1628537
1627780,1626159
1627780,1628373
1627785,203492
1627785,2422
1627786,1626169
1627786,1897
1627788,2747
1627788,203109
1627790,203092
1627790,201581
1627814,203109
1627814,201960
1627814,203484
1627816,1628035
1627819,101127
1627819,1628443
1627819,201938
1627820,201974
1627821,1628400
1627821,1629061
1627821,1626148
1627823,1627846
1627823,101107
1627827,203921
1627832,201943
1627835,1628470
1627846,203516
1627848,1628963
1627848,1628381
1627851,951
1627851,202718
1627853,2550
1627853,1747
1627853,202721
1627854,978
1627854,1628379
1627855,202498
1627855,1628411
1627858,2555
1627858,202723
1627863,203459
1627883,201960
1627883,201956
1627884,1628021
1627884,203940
1627885,1627761
1627885,1626153
1627936,201986
1627988,1628969
1627988,1904
1627988,1629001
1628021,201970
1628035,1628391
1628365,203901
1628365,202397
1628366,1626166
1628366,201976
1628367,1628369
1628367,202693
1628370,101123
1628370,101139
1628371,203120
1628372,1628455
1628373,1747
1628373,1629059
1628374,1733
1628374,1628398
1628378,203078
1628378,202689
1628379,1628422
1628379,951
1628380,1627816
1628380,203488
1628381,1628963
1628381,1628418
1628382,101120
1628382,101214
1628382,203138
1628384,1628404
1628384,1740
1628385,708
1628386,1628976
1628389,203469
1628391,1627823
1628391,101107
1628395,1626172
1628395,203124
1628398,203930
1628398,203967
1628400,101214
1628400,2052
1628401,1628983
1628401,2738
1628401,1503
1628402,202390
1628402,1627782
1628405,200746
1628405,2216
1628405,203944
1628407,101120
1628407,204037
1628409,1629151
1628409,1628510
1628409,202337
1628411,1628971
1628411,203524
1628412,1628443
1628413,1628467
1628413,203998
1628413,202725
1628414,2059
1628415,2406
1628416,203925
1628416,201158
1628416,202390
1628417,203133
1628417,204037
1628418,2200
1628420,101109
1628420,2590
1628424,202708
1628425,202341
1628425,1628384
1628425,2440
1628436,202722
1628436,101112
1628436,201980
1628439,101138
1628443,201938
1628443,1626170
1628455,2240
1628462,2749
1628462,101249
1628462,201985
1628463,1628391
1628463,1628035
1628463,1627863
1628464,1628976
1628467,203488
1628469,202711
1628469,1628402
1628469,2207
1628495,202697
1628495,1897
1628495,1626169
1628503,101214
1628503,714
1628503,203111
1628510,1629151
1628515,202388
1628515,203489
1628515,2306
1628537,101155
1628537,1626155
1628537,1626159
1628681,2446
1628681,1628382
1628681,203098
1628959,1628503
1628959,203111
1628959,1628407
1628960,200755
1628960,203501
1628960,201569
1628963,201578
1628964,1626167
1628964,203089
1628969,202697
1628969,1897
1628969,202066
1628970,201948
1628970,2440
1628970,202335
1628971,201964
1628971,200081
1628973,202688
1628975,201164
1628976,201582
1628977,1628021
1628977,201175
1628978,1628404
1628978,2756
1628978,204038
1628984,2229
1628984,201985
1628984,2742
1628988,203992
1628988,201166
1628988,1713
1628989,204038
1628989,2067
1628990,101153
1628990,203948
1628990,101211
1628991,201572
1628991,101235
1628995,202694
1629001,101179
1629001,201979
1629001,1626145
1629004,204038
1629004,200789
1629004,1629130
1629006,1897
1629006,203900
1629011,202336
1629011,201580
1629011,1626257
1629012,2732
1629012,2072
1629013,2594
1629013,1629244
1629013,203925
1629016,2440
1629016,2209
1629019,202692
1629019,203462
1629021,1626163
1629021,1626168
1629021,203932
1629026,2209
1629026,1626169
1629027,202738
1629027,203081
1629027,1629029
1629028,2430
1629029,203081
1629033,1628978
1629033,1626179
1629033,2756
1629034,1626204
1629034,202332
1629059,2550
1629061,1628400
1629061,1626253
1629066,1627774
1629066,200760
1629102,1628384
1629109,200761
1629109,2203
1629109,2209
1629121,2581
1629121,1710
1629121,1715
1629130,203798
1629130,201611
1629139,1628990
1629139,101153
1629139,201964
1629140,1628397
1629541,2052
1629541,204014
1629541,2586
